,City,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,32.16,96,100,9.86,GL,1636601351
1,Lebu,-37.6167,-73.65,51.62,92,91,7.2,CL,1636601351
2,Mataura,-46.1927,168.8643,75.83,42,100,4.99,NZ,1636601256
3,Bredasdorp,-34.5322,20.0403,60.12,88,55,4.61,ZA,1636601352
4,Rikitea,-23.1203,-134.9692,73.89,82,86,14.81,PF,1636601352
5,Kenora,49.8167,-94.4337,37.38,100,90,16.11,CA,1636601353
6,Salalah,17.0151,54.0924,80.69,24,0,6.91,OM,1636601330
7,Barcelos,41.5388,-8.6151,55.92,83,85,3.04,PT,1636601353
8,Quixeramobim,-5.1992,-39.2928,77.5,74,10,5.95,BR,1636601354
9,Port Elizabeth,-33.918,25.5701,61.09,72,75,8.05,ZA,1636600833
10,Saint Paul Harbor,57.79,-152.4072,29.71,93,90,4.61,US,1636601325
11,Geraldton,-28.7667,114.6,75.61,46,90,16.11,AU,1636601354
12,Constitución,-35.3333,-72.4167,52.14,80,88,7.78,CL,1636600945
13,Bonavista,48.6499,-53.1147,43.12,75,100,5.01,CA,1636601095
14,Butaritari,3.0707,172.7902,82.98,68,9,13.69,KI,1636600801
15,Sechura,-5.5569,-80.8222,64.58,80,94,12.8,PE,1636601355
16,Atuona,-9.8,-139.0333,78.13,73,17,14.85,PF,1636600821
17,São João da Barra,-21.6403,-41.0511,69.67,88,100,9.04,BR,1636600562
18,Tuktoyaktuk,69.4541,-133.0374,23.0,86,90,8.05,CA,1636600825
19,Sabang,5.8933,95.3214,81.57,77,100,10.71,ID,1636600831
20,Ushuaia,-54.8,-68.3,42.46,93,0,16.11,AR,1636600976
21,Cranbourne,-38.1,145.2833,65.98,50,52,4.0,AU,1636601191
22,Hermanus,-34.4187,19.2345,59.9,84,91,5.46,ZA,1636601311
23,Bahía Honda,22.9036,-83.1592,73.08,82,29,8.16,CU,1636601357
24,Aden,12.7794,45.0367,81.1,60,4,10.27,YE,1636601171
25,Clyde River,70.4692,-68.5914,3.58,89,60,8.41,CA,1636601106
26,Fairbanks,64.8378,-147.7164,1.31,80,1,0.0,US,1636600595
27,Acapulco de Juárez,16.8634,-99.8901,78.62,83,40,2.3,MX,1636601137
28,Faanui,-16.4833,-151.75,79.59,75,23,13.18,PF,1636601331
29,Jamestown,42.097,-79.2353,46.04,56,1,6.91,US,1636601291
30,Kruisfontein,-34.0033,24.7314,58.66,71,68,6.35,ZA,1636600853
31,Albany,42.6001,-73.9662,42.31,67,99,4.61,US,1636601263
32,Port Alfred,-33.5906,26.891,60.8,83,52,11.34,ZA,1636601299
33,Kapaa,22.0752,-159.319,82.38,73,40,1.01,US,1636601298
34,Ancud,-41.8697,-73.8203,44.42,85,72,7.02,CL,1636600599
35,Vila Franca do Campo,37.7167,-25.4333,68.41,89,100,8.3,PT,1636601319
36,Miranda,3.2499,-76.2281,68.13,91,100,2.57,CO,1636601359
37,Husavik,66.0449,-17.3389,28.31,82,100,3.76,IS,1636600921
38,Burghausen,48.1667,12.8333,41.65,92,4,0.6,DE,1636601360
39,Praia,14.9215,-23.5087,73.94,83,0,8.05,CV,1636601360
40,Beroroha,-21.6667,45.1667,80.22,47,2,3.24,MG,1636601361
41,Vaini,-21.2,-175.2,77.16,94,75,5.75,TO,1636601269
42,Puerto Ayora,-0.7393,-90.3518,67.55,98,19,4.0,EC,1636601311
43,Isangel,-19.55,169.2667,86.11,66,40,11.5,VU,1636601104
44,Tiksi,71.6872,128.8694,-3.17,95,100,6.04,RU,1636601362
45,Hobart,-42.8794,147.3294,61.05,70,75,1.01,AU,1636601178
46,Gazli,40.1333,63.45,45.95,62,0,7.43,UZ,1636601362
47,Les Cayes,18.2,-73.75,75.94,83,28,3.8,HT,1636601363
48,Santiago de Cao,-7.9589,-79.2392,62.73,82,97,8.05,PE,1636601363
49,Guerrero Negro,27.9769,-114.0611,66.22,87,0,9.33,MX,1636601030
50,Tsaratanana,-16.7833,47.65,76.82,76,90,2.75,MG,1636601364
51,College,64.8569,-147.8028,1.29,80,20,0.0,US,1636601096
52,Chokurdakh,70.6333,147.9167,-6.02,93,95,8.63,RU,1636600844
53,Peniche,39.3558,-9.3811,58.62,94,94,1.1,PT,1636601364
54,Port Hedland,-20.3167,118.5667,89.65,20,0,13.8,AU,1636601073
55,Nome,64.5011,-165.4064,10.47,62,90,6.91,US,1636601365
56,Havre-St-Pierre,50.2334,-63.5986,35.6,69,20,5.75,CA,1636600924
57,Solnechnyy,50.7214,136.6319,30.78,91,100,1.79,RU,1636601058
58,Katsuura,35.1333,140.3,70.2,56,0,28.05,JP,1636600775
59,Sarkand,45.41,79.9186,35.04,62,11,4.97,KZ,1636601079
60,Airai,-8.9266,125.4092,73.72,69,84,0.94,TL,1636601013
61,Kahului,20.8947,-156.47,83.46,74,20,9.22,US,1636601251
62,Barrow,71.2906,-156.7887,17.62,86,90,14.97,US,1636601301
63,Juli,-16.2167,-69.45,47.73,68,89,3.67,PE,1636601366
64,Saskylakh,71.9167,114.0833,-24.3,100,83,4.12,RU,1636600829
65,Khatanga,71.9667,102.5,-25.8,100,100,5.35,RU,1636601265
66,Krasnyy Chikoy,50.3643,108.7512,29.46,58,26,3.29,RU,1636601367
67,Bengkulu,-3.8004,102.2655,80.44,63,100,5.59,ID,1636601368
68,Ejea de los Caballeros,42.1263,-1.1372,47.61,86,36,5.64,ES,1636601368
69,Yellowknife,62.456,-114.3525,25.41,100,90,14.97,CA,1636601262
70,Guéret,46.1667,1.8667,50.63,78,81,3.42,FR,1636601369
71,Ponta Delgada,37.7333,-25.6667,68.72,88,40,6.91,PT,1636601369
72,Hong Kong,22.2855,114.1577,75.25,38,32,1.01,HK,1636601257
73,Daru,-9.0763,143.2092,88.03,65,58,8.97,PG,1636601370
74,Linxia Chengguanzhen,35.6003,103.2064,32.59,34,3,3.71,CN,1636601370
75,Mount Isa,-20.7333,139.5,82.17,74,90,16.11,AU,1636601263
76,Mandalī,33.7499,45.5541,64.09,28,100,4.27,IQ,1636601370
77,Deputatsky,69.3,139.9,4.42,97,100,2.68,RU,1636601061
78,Kyzyl-Suu,42.3414,78.0056,34.41,62,28,5.28,KG,1636601244
79,Beloha,-25.1667,45.05,72.77,74,58,4.72,MG,1636601049
80,Dalvik,65.9702,-18.5286,28.33,84,100,2.46,IS,1636600885
81,Kaka,37.3482,59.6143,51.19,28,0,7.87,TM,1636601371
82,Yangi Marg`ilon,40.4272,71.7189,36.32,64,5,4.61,UZ,1636601372
83,Kikwit,-5.041,18.8162,70.09,98,100,1.57,CD,1636601372
84,New Norfolk,-42.7826,147.0587,61.66,58,63,5.01,AU,1636601308
85,Tocopilla,-22.092,-70.1979,64.09,71,70,5.14,CL,1636601375
86,Port Moresby,-9.4431,147.1797,88.02,65,89,9.57,PG,1636601092
87,Batagay-Alyta,67.8006,130.4114,0.39,89,100,5.64,RU,1636600832
88,Cayenne,4.9333,-52.3333,78.1,88,90,0.0,GF,1636600843
89,Severo-Kuril'sk,50.6789,156.125,41.77,91,100,31.61,RU,1636601376
90,Mount Gambier,-37.8333,140.7667,61.43,48,84,14.58,AU,1636600891
91,Taoudenni,22.6783,-3.9836,67.89,15,95,10.16,ML,1636601376
92,Itoman,26.1247,127.6694,73.78,47,20,13.8,JP,1636601306
93,Houndé,11.5,-3.5167,81.01,59,98,3.49,BF,1636601377
94,Busselton,-33.65,115.3333,68.09,38,2,3.94,AU,1636600800
95,Vestmannaeyjar,63.4427,-20.2734,40.71,70,18,12.37,IS,1636601377
96,Punta Arenas,-53.15,-70.9167,46.51,49,40,10.36,CL,1636601270
97,Carnarvon,-24.8667,113.6333,84.27,18,0,16.11,AU,1636600861
98,Juneau,58.3019,-134.4197,39.22,94,75,8.05,US,1636601275
99,Plettenberg Bay,-34.0527,23.3716,61.61,68,93,4.27,ZA,1636601378
100,Kyra,49.5776,111.9753,29.68,52,66,4.68,RU,1636600922
101,Bluff,-46.6,168.3333,60.96,75,96,14.18,NZ,1636601264
102,Nikolskoye,59.7035,30.7861,45.88,80,100,11.88,RU,1636601038
103,Esperance,-33.8667,121.9,62.44,57,100,10.94,AU,1636601312
104,Hambantota,6.1241,81.1185,82.74,78,20,8.05,LK,1636601008
105,East London,-33.0153,27.9116,61.21,78,41,8.16,ZA,1636600818
106,Klaksvík,62.2266,-6.589,40.12,74,81,28.14,FO,1636601323
107,Castro,-24.7911,-50.0119,55.98,97,100,8.63,BR,1636601380
108,Gloversville,43.0528,-74.3438,41.68,86,1,5.75,US,1636601380
109,Saint George,37.1041,-113.5841,63.63,35,1,1.01,US,1636601381
110,Kumul,42.8,93.45,30.81,43,0,2.17,CN,1636601105
111,Qaanaaq,77.484,-69.3632,-5.76,69,3,7.52,GL,1636600805
112,Khatassy,61.9036,129.6383,4.98,91,44,1.86,RU,1636601381
113,Chui,-33.6971,-53.4616,62.06,56,66,10.76,UY,1636601271
114,Kavieng,-2.5744,150.7967,85.08,69,98,11.05,PG,1636601382
115,Esso,55.9333,158.7,26.06,90,100,6.4,RU,1636601382
116,Cabo San Lucas,22.8909,-109.9124,78.51,74,1,6.91,MX,1636601268
117,Cape Town,-33.9258,18.4232,63.09,81,20,4.0,ZA,1636601223
118,Ponta do Sol,32.6667,-17.1,67.01,68,11,5.68,PT,1636600835
119,Pevek,69.7008,170.3133,-4.49,99,91,5.41,RU,1636600802
120,Tual,-5.6667,132.75,85.08,68,100,7.07,ID,1636600886
121,Lorengau,-2.0226,147.2712,86.72,62,90,11.61,PG,1636601384
122,Padang,-0.9492,100.3543,84.25,74,100,4.79,ID,1636601384
123,Kununurra,-15.7667,128.7333,98.58,44,40,6.91,AU,1636601384
124,Slave Lake,55.2834,-114.769,26.58,93,90,3.44,CA,1636600924
125,Châtellerault,46.8,0.5333,41.72,1,24,6.8,FR,1636601385
126,Marechal Cândido Rondon,-24.5561,-54.0567,69.26,95,100,5.73,BR,1636601385
127,Labuhan,-6.8844,112.2051,87.31,60,100,6.67,ID,1636600845
128,Fortuna,40.5982,-124.1573,58.93,90,90,7.0,US,1636601320
129,Porbandar,21.6422,69.6093,73.38,56,81,13.8,IN,1636601386
130,Marzuq,14.4,46.4667,63.81,44,0,1.86,YE,1636601323
131,Mar del Plata,-38.0023,-57.5575,62.1,83,74,5.01,AR,1636601259
132,Berlevåg,70.8578,29.0864,39.85,87,98,25.77,NO,1636601387
133,Evensk,61.95,159.2333,16.65,91,100,4.97,RU,1636601126
134,Cocobeach,1.0002,9.5823,76.93,92,100,6.85,GA,1636601387
135,Port Macquarie,-31.4333,152.9167,69.76,75,94,11.88,AU,1636601388
136,Alice Town,25.7167,-79.3,77.99,72,6,18.63,BS,1636601388
137,Āsosa,10.0667,34.5333,63.43,73,68,4.12,ET,1636601389
138,Vanimo,-2.6741,141.3028,87.71,63,66,8.72,PG,1636600847
139,Ribeira Grande,38.5167,-28.7,63.84,77,100,9.19,PT,1636601168
140,Nishihara,26.1842,127.7558,73.06,47,40,11.5,JP,1636600863
141,Dzilam González,21.2833,-88.9333,70.29,88,21,6.38,MX,1636601390
142,Longyearbyen,78.2186,15.6401,13.84,62,75,18.41,SJ,1636601390
143,Thompson,55.7435,-97.8558,24.96,80,40,9.22,CA,1636601196
144,Stornoway,58.2093,-6.3865,44.56,81,90,5.75,GB,1636601390
145,Upernavik,72.7868,-56.1549,18.84,69,100,19.91,GL,1636600889
146,Avarua,-21.2078,-159.775,77.05,69,75,17.27,CK,1636601335
147,Shingū,33.7333,135.9833,65.39,47,6,8.66,JP,1636601391
148,Manjacaze,-24.7117,33.8828,65.19,90,100,3.09,MZ,1636601391
149,Carutapera,-1.195,-46.02,76.53,82,62,5.1,BR,1636601158
150,Mackay,-21.15,149.2,92.68,58,69,24.16,AU,1636601392
151,Mossamedes,-15.1961,12.1522,69.04,76,46,3.11,AO,1636600804
152,George Town,5.4112,100.3354,85.93,72,20,5.75,MY,1636600563
153,West Bay,19.3667,-81.4167,81.0,87,20,3.0,KY,1636601393
154,Saint-Philippe,-21.3585,55.7679,78.22,71,6,7.29,RE,1636601393
155,Sitka,57.0531,-135.33,37.29,81,40,5.75,US,1636601394
156,Mahébourg,-20.4081,57.7,78.26,69,20,8.05,MU,1636601394
157,Saint-Paul-lès-Dax,43.7272,-1.0516,51.03,96,44,0.0,FR,1636601395
158,Caravelas,-17.7125,-39.2481,74.8,92,100,5.46,BR,1636601330
159,Novoseleznëvo,55.6821,69.2056,24.67,89,92,9.69,RU,1636601395
160,Saint Anthony,45.0205,-93.218,45.55,92,90,3.0,US,1636601332
161,Dikson,73.5069,80.5464,-3.48,99,99,14.09,RU,1636600831
162,Hammerfest,70.6634,23.6821,37.85,87,90,0.0,NO,1636601396
163,Bambous Virieux,-20.3428,57.7575,78.22,69,20,8.05,MU,1636601297
164,Ulaanbaatar,47.9077,106.8832,21.33,63,0,2.24,MN,1636601396
165,Goderich,43.7501,-81.7165,38.55,93,100,9.22,CA,1636601397
166,Arraial do Cabo,-22.9661,-42.0278,67.96,100,75,0.0,BR,1636600835
167,Russell,32.3502,-85.1999,61.83,87,1,0.0,US,1636601398
168,Sur,22.5667,59.5289,76.05,49,0,2.77,OM,1636600920
169,Nouadhibou,20.931,-17.0347,66.18,77,73,8.05,MR,1636601370
170,Leningradskiy,69.3833,178.4167,6.82,97,100,2.66,RU,1636601399
171,Sibu,2.3,111.8167,86.31,74,40,8.05,MY,1636601400
172,Jalu,29.0331,21.5482,68.14,40,100,9.84,LY,1636600872
173,Laiyang,36.9758,120.7136,51.22,39,57,18.32,CN,1636601400
174,Rehli,23.6333,79.0833,72.75,38,61,5.86,IN,1636601401
175,Vao,-22.6667,167.4833,74.93,82,33,14.83,NC,1636601402
176,Navlya,52.8281,34.4989,33.94,53,86,10.65,RU,1636601403
177,Okha,53.5739,142.9478,40.55,72,2,11.61,RU,1636601404
178,Torbay,47.6666,-52.7314,43.39,89,90,5.75,CA,1636601404
179,Bindura,-17.3019,31.3306,67.01,73,65,1.7,ZW,1636601405
180,Brainerd,46.358,-94.2008,39.45,93,90,11.74,US,1636601252
181,Hualmay,-11.0964,-77.6139,63.68,81,64,8.7,PE,1636601305
182,Hilo,19.7297,-155.09,78.53,77,20,9.22,US,1636601407
183,Nelson Bay,-32.7167,152.15,68.11,88,100,1.01,AU,1636601407
184,Kayes,14.0,-11.0,79.92,22,76,2.68,ML,1636601408
185,Taltal,-25.4,-70.4833,62.51,71,7,4.81,CL,1636600845
186,Patiya,22.2931,91.9762,82.35,74,100,0.0,BD,1636601409
187,Flinders,-34.5833,150.8552,62.8,82,100,6.78,AU,1636601410
188,Itarema,-2.9248,-39.9167,78.4,80,64,12.28,BR,1636601411
189,Atar,20.5169,-13.0499,75.65,27,100,8.01,MR,1636601135
190,Rio Claro,-22.4114,-47.5614,60.8,86,100,8.08,BR,1636601411
191,Banda Aceh,5.5577,95.3222,82.0,77,100,7.29,ID,1636601412
192,Beringovskiy,63.05,179.3167,13.23,99,43,4.23,RU,1636601412
193,Klyuchi,52.2667,79.1667,35.76,63,100,12.84,RU,1636601413
194,Ketchikan,55.3422,-131.6461,39.67,93,40,4.61,US,1636601062
195,Maumere,-8.6199,122.2111,85.8,70,98,1.88,ID,1636601413
196,Turukhansk,65.8167,87.9833,-5.96,95,69,7.81,RU,1636600971
197,Orós,-6.2444,-38.9136,78.04,73,69,7.38,BR,1636601414
198,Pacific Grove,36.6177,-121.9166,61.63,87,1,1.99,US,1636600568
199,Luanda,-8.8368,13.2343,75.2,88,75,3.44,AO,1636601414
200,São Francisco do Sul,-26.2433,-48.6381,66.11,94,75,4.61,BR,1636601415
201,‘Uzeir,32.7921,35.3298,60.98,70,0,2.62,IL,1636601415
202,Bethel,41.3712,-73.414,49.57,64,1,3.44,US,1636600870
203,Henties Bay,-22.116,14.2845,56.86,95,3,6.02,NA,1636601416
204,Norrtälje,59.758,18.705,43.84,86,4,6.38,SE,1636601311
205,Hutchinson,38.0608,-97.9298,51.75,77,1,3.0,US,1636601326
206,Margate,51.3813,1.3862,53.91,91,100,6.8,GB,1636601417
207,Vallenar,-28.5708,-70.7581,64.42,50,0,1.83,CL,1636600955
208,Sioux Lookout,50.1001,-91.917,34.18,93,90,6.91,CA,1636600865
209,Réo,12.3167,-2.4667,81.75,45,78,3.78,BF,1636601417
210,Bakau,13.4781,-16.6819,73.54,73,0,3.44,GM,1636601418
211,Nānākuli,21.3906,-158.1547,83.57,57,75,5.75,US,1636601418
212,Samarai,-10.6167,150.6667,85.21,72,74,14.83,PG,1636600952
213,Port Augusta,-32.5,137.7667,51.94,66,99,18.21,AU,1636600990
214,Dillon,34.4166,-79.3712,59.81,58,20,6.04,US,1636601419
215,Miami,25.7743,-80.1937,76.01,86,40,3.0,US,1636601159
216,Marawi,7.9986,124.2928,76.64,67,99,5.41,PH,1636601419
217,Lagoa,39.05,-27.9833,64.27,83,100,12.88,PT,1636601420
218,Ciudad del Maíz,22.4,-99.6,57.51,95,48,2.51,MX,1636601420
219,Atambua,-9.1061,124.8925,84.06,68,74,5.03,ID,1636601421
220,Dolores,-36.3132,-57.6792,54.86,83,32,8.59,AR,1636601401
221,Algiers,36.7525,3.042,57.02,82,75,4.61,DZ,1636601201
222,Palmas de Monte Alto,-14.2672,-43.1619,71.33,84,90,3.78,BR,1636601308
223,Camacha,33.0833,-16.3333,63.54,88,75,9.22,PT,1636601129
224,Shizunai-furukawachō,42.3339,142.3669,49.93,69,92,19.82,JP,1636601422
225,Sheopur,25.6667,76.7,74.14,33,15,3.04,IN,1636601422
226,Waingapu,-9.6567,120.2641,85.96,69,100,7.92,ID,1636601422
227,Marino,41.7624,12.6444,58.84,85,75,3.0,IT,1636601254
228,Nyurba,63.2842,118.3319,22.73,93,100,8.57,RU,1636601423
229,Tabou,4.423,-7.3528,77.13,89,90,2.57,CI,1636601423
230,Gizo Government Station,-8.103,156.8419,85.84,68,95,8.21,SB,1636601264
231,Bouza,14.4229,6.0428,78.94,22,0,5.55,NE,1636601424
232,Cherskiy,68.75,161.3,-7.71,97,89,5.5,RU,1636601424
233,Emerald,-23.5333,148.1667,84.04,65,100,17.49,AU,1636600750
234,Garoowe,8.4054,48.4845,71.49,71,48,8.52,SO,1636601425
235,Haileybury,47.449,-79.6373,28.98,81,95,2.89,CA,1636601425
236,Verkh-Usugli,52.7,115.1667,28.87,44,42,4.47,RU,1636601426
237,Nanortalik,60.1432,-45.2371,22.1,55,100,2.37,GL,1636601426
238,Sistranda,63.7256,8.834,45.9,66,98,23.0,NO,1636601303
239,Mossendjo,-2.9506,12.7261,70.23,100,100,1.54,CG,1636601426
240,Provideniya,64.3833,-173.3,12.31,73,20,4.47,RU,1636601427
241,Diok’nisi,41.6293,42.3917,33.49,99,100,1.01,GE,1636601427
242,Guiyang,26.5833,106.7167,48.69,76,90,4.47,CN,1636601428
243,Malbork,54.0359,19.0266,44.26,72,100,5.93,PL,1636601428
244,Tiverton,50.9,-3.4833,54.66,100,75,3.44,GB,1636601428
245,Souillac,-20.5167,57.5167,78.37,69,20,8.05,MU,1636601429
246,Port Blair,11.6667,92.75,84.24,79,40,6.91,IN,1636601061
247,Hithadhoo,-0.6,73.0833,82.8,78,77,20.78,MV,1636601292
248,San Patricio,28.017,-97.5169,76.84,79,1,13.8,US,1636601430
249,Hurghada,27.2574,33.8129,68.94,55,89,13.8,EG,1636601430
250,Matara,5.9485,80.5353,83.1,72,25,13.85,LK,1636601430
251,Chulumani,-16.4096,-67.5263,64.36,97,95,1.07,BO,1636601431
252,Bartica,6.4,-58.6167,75.52,95,54,2.57,GY,1636601431
253,Vysokogornyy,50.1167,139.15,30.42,86,83,2.24,RU,1636601432
254,Conde,-7.2597,-34.9075,76.46,88,20,5.75,BR,1636601432
255,Maridi,4.9158,29.4742,67.75,92,100,2.73,SS,1636601432
256,Chabahar,25.2919,60.643,76.59,43,0,4.09,IR,1636601038
257,Yertsevo,60.7966,40.086,33.44,97,100,11.27,RU,1636601433
258,Egvekinot,66.3167,-179.1667,-0.78,94,25,5.3,RU,1636601433
259,Nara,34.6851,135.8049,62.96,60,62,14.38,JP,1636601434
260,Fortuna Foothills,32.6578,-114.4119,73.49,36,1,5.75,US,1636601434
261,Tortolì,39.9256,9.6572,55.22,71,40,9.22,IT,1636601435
262,Kaitangata,-46.2817,169.8464,61.93,79,77,10.38,NZ,1636601325
263,Namatanai,-3.6667,152.4333,84.7,70,87,7.05,PG,1636601435
264,Sotouboua,8.5667,0.9833,73.44,85,100,1.77,TG,1636601436
265,Coyhaique,-45.5752,-72.0662,44.55,61,0,1.14,CL,1636600897
266,Vila Velha,-20.3297,-40.2925,70.95,94,90,11.01,BR,1636601259
267,Norman Wells,65.282,-126.8329,24.84,74,75,14.97,CA,1636601158
268,Arrondissement de Saintes,45.6667,-0.75,45.5,75,53,7.43,FR,1636601437
269,Grand Gaube,-20.0064,57.6608,78.39,68,3,5.01,MU,1636600892
270,Jinxiang,27.4327,120.6062,63.05,47,38,3.87,CN,1636601437
271,Bilma,18.6853,12.9164,76.01,14,0,7.0,NE,1636601437
272,Xique-Xique,-10.8218,-42.7263,77.09,67,32,9.8,BR,1636601438
273,Makakilo City,21.3469,-158.0858,82.15,63,75,5.75,US,1636601438
274,Det Udom,14.906,105.0784,80.91,64,95,7.61,TH,1636601439
